20.6013513514[512, 'merriss-s.txt']
20.4149659864[594, 'linder-e.txt']
19.7328767123[676, 'phanis-s.txt']
19.5103448276[1290, 'king-j.txt']
19.5902777778[2028, 'townsend-j.txt']
19.1818181818[2416, 'ermis-f.txt']
18.3169014085[2749, 'motley-m.txt']
18.3971631206[3290, 'meyers-a.txt']
18.3142857143[3307, 'gilbertsmith-d.txt']
17.7194244604[4079, 'south-s.txt']
17.768115942[4262, 'benson-r.txt']
17.8394160584[4584, 'maggi-m.txt']
17.9411764706[5776, 'shapiro-r.txt']
17.1333333333[6823, 'williams-j.txt']
16.2910447761[6863, 'badeer-r.txt']
16.2180451128[6863, 'bailey-s.txt']
16.2954545455[7786, 'saibi-e.txt']
16.0763358779[8348, 'panus-s.txt']
16.0230769231[8491, 'dean-c.txt']
16.0[9536, 'reitmeyer-j.txt']
15.7421875[10386, 'griffith-j.txt']
14.9448818898[11354, 'gang-l.txt']
15.0079365079[11435, 'solberg-g.txt']
15.064[11734, 'may-l.txt']
14.8225806452[11855, 'slinger-r.txt']
14.5284552846[12005, 'arora-h.txt']
14.2868852459[13070, 'mckay-b.txt']
14.3305785124[13658, 'pimenov-v.txt']
14.325[13935, 'stepenovitch-j.txt']
14.3865546218[14645, 'swerzbin-m.txt']
13.5084745763[14767, 'donohoe-t.txt']
13.4017094017[15597, 'holst-k.txt']
12.6982758621[15886, 'quenet-j.txt']
12.8[16746, 'lokey-t.txt']
12.7543859649[18036, 'hodge-j.txt']
12.7522123894[18097, 'salisbury-h.txt']
12.7946428571[18119, 'staab-t.txt']
12.7837837838[18358, 'storey-g.txt']
12.6181818182[18963, 'wolfe-j.txt']
12.2201834862[19515, 'scholtes-d.txt']
12.1296296296[19685, 'ring-r.txt']
11.5981308411[20168, 'whalley-g.txt']
11.5660377358[20360, 'lewis-a.txt']
11.5047619048[20980, 'platter-p.txt']
11.0[22467, 'keavey-p.txt']
11.0194174757[22889, 'fischer-m.txt']
11.0[24553, 'rapp-b.txt']
11.0198019802[26749, 'baughman-d.txt']
11.03[26833, 'sanchez-m.txt']
11.0505050505[28752, 'dickson-s.txt']
10.9489795918[31738, 'ybarbo-p.txt']
10.9587628866[32396, 'hendrickson-s.txt']
10.1041666667[32425, 'whitt-m.txt']
10.0736842105[32503, 'mccarty-d.txt']
9.89361702128[33992, 'ring-a.txt']
9.9247311828[37612, 'schwieger-j.txt']
9.92391304348[39292, 'lucci-p.txt']
9.53846153846[39639, 'zufferli-j.txt']
9.45555555556[43750, 'carson-m.txt']
9.30337078652[44533, 'geaccone-t.txt']
9.31818181818[45968, 'parks-j.txt']
9.27586206897[49173, 'semperger-c.txt']
9.24418604651[50276, 'thomas-p.txt']
8.82352941176[51659, 'shively-h.txt']
8.79761904762[53230, 'zipper-a.txt']
8.77108433735[54135, 'schoolcraft-d.txt']
8.80487804878[54213, 'derrick-j.txt']
